accommodates,bedrooms,beds,bathrooms,rating,neighbourhood,room_type,bath_type,price
3,1.0,1.0,1.0,4.99,Greenwood,Entire home/apt,standard,174.0
2,1.0,1.0,1.0,4.97,West Woodland,Entire home/apt,standard,89.0
2,1.0,1.0,1.5,4.98,Bryant,Entire home/apt,standard,148.0
4,2.0,1.0,1.0,4.96,Ravenna,Entire home/apt,standard,120.0
6,3.0,3.0,2.0,4.96,Lower Queen Anne,Entire home/apt,standard,427.0
4,1.0,1.0,1.0,4.95,Pike-Market,Entire home/apt,standard,235.0
4,2.0,3.0,2.0,4.99,Broadway,Entire home/apt,standard,241.0
6,3.0,3.0,2.5,4.63,North Queen Anne,Entire home/apt,standard,464.0
2,1.0,1.0,1.0,4.93,Maple Leaf,Entire home/apt,standard,155.0
5,2.0,2.0,1.0,4.8,Columbia City,Entire home/apt,standard,90.0
2,0.0,1.0,1.0,4.99,Laurelhurst,Entire home/apt,standard,110.0
2,1.0,1.0,1.0,4.94,Broadway,Private room,private,106.0
2,1.0,1.0,1.0,4.96,Broadway,Private room,private,85.0
6,2.0,3.0,1.0,4.54,Belltown,Entire home/apt,standard,187.0
6,3.0,3.0,2.0,5.0,Seward Park,Entire home/apt,standard,250.0
2,1.0,1.0,1.0,4.98,Minor,Entire home/apt,standard,108.0
4,1.0,1.0,1.0,4.72,Broadway,Entire home/apt,standard,83.0
5,2.0,2.0,1.0,4.09,Bryant,Entire home/apt,standard,152.0
2,1.0,1.0,1.0,4.97,Wallingford,Entire home/apt,standard,75.0
2,1.0,1.0,1.0,5.0,Fremont,Entire home/apt,standard,65.0
5,1.0,3.0,1.0,4.91,Greenwood,Entire home/apt,standard,145.0
2,1.0,1.0,1.0,5.0,Loyal Heights,Entire home/apt,standard,182.0
4,2.0,2.0,1.5,4.95,Alki,Entire home/apt,standard,184.0
4,1.0,2.0,1.0,4.65,Belltown,Entire home/apt,standard,125.0
2,0.0,2.0,1.0,4.99,Greenwood,Entire home/apt,standard,114.0
2,1.0,1.0,1.0,4.89,Wallingford,Entire home/apt,standard,130.0
4,2.0,2.0,1.0,4.92,Wallingford,Entire home/apt,standard,116.0
8,4.0,4.0,2.5,4.96,Mann,Entire home/apt,standard,275.0
3,2.0,2.0,1.0,4.89,Victory Heights,Entire home/apt,standard,163.0
1,1.0,1.0,1.0,4.76,North College Park,Private room,shared,156.0
8,4.0,4.0,2.0,4.84,Rainier Beach,Entire home/apt,standard,175.0
6,3.0,4.0,2.0,4.73,Sunset Hill,Entire home/apt,standard,244.0
10,5.0,5.0,3.5,4.81,Maple Leaf,Entire home/apt,standard,552.0
6,2.0,3.0,1.0,4.84,Stevens,Entire home/apt,standard,219.0
2,2.0,1.0,1.0,4.48,South Delridge,Entire home/apt,standard,84.0
2,1.0,1.0,1.0,4.98,Georgetown,Entire home/apt,standard,86.0
4,1.0,3.0,1.0,4.88,North Beach/Blue Ridge,Entire home/apt,standard,131.0
2,1.0,1.0,1.0,4.94,South Park,Entire home/apt,standard,90.0
6,2.0,3.0,1.0,4.93,Seward Park,Entire home/apt,standard,117.0
3,1.0,2.0,1.0,4.91,Interbay,Entire home/apt,standard,65.0
2,1.0,1.0,1.0,4.97,Mann,Private room,shared,45.0
2,0.0,2.0,1.0,4.97,Matthews Beach,Entire home/apt,standard,50.0
6,3.0,4.0,1.5,4.92,Mount Baker,Entire home/apt,standard,251.0
6,1.0,3.0,1.0,4.93,North Beacon Hill,Entire home/apt,standard,74.0
3,2.0,2.0,1.0,4.91,Matthews Beach,Entire home/apt,standard,90.0
4,1.0,1.0,1.0,4.81,North Queen Anne,Entire home/apt,standard,77.0
6,3.0,3.0,2.0,4.94,Matthews Beach,Entire home/apt,standard,235.0
3,1.0,1.0,1.0,4.97,Wallingford,Entire home/apt,standard,114.0
6,3.0,4.0,1.0,4.95,Minor,Entire home/apt,standard,128.0
2,1.0,1.0,1.0,4.7,Mount Baker,Private room,private,182.0
2,1.0,1.0,1.5,4.98,Seaview,Private room,standard,79.0
4,2.0,2.0,1.0,4.33,University District,Entire home/apt,standard,140.0
3,1.0,2.0,1.0,4.86,Madison Park,Entire home/apt,standard,100.0
2,1.0,1.0,1.0,4.99,Ravenna,Entire home/apt,standard,120.0
5,2.0,2.0,2.0,4.98,Wallingford,Entire home/apt,standard,138.0
8,4.0,4.0,3.5,5.0,Phinney Ridge,Entire home/apt,standard,700.0
2,1.0,1.0,1.0,4.76,First Hill,Entire home/apt,standard,190.0
2,1.0,1.0,1.0,4.96,North Queen Anne,Entire home/apt,standard,94.0
2,1.0,1.0,1.0,4.98,Phinney Ridge,Entire home/apt,standard,84.0
4,2.0,2.0,1.0,4.94,West Queen Anne,Entire home/apt,standard,177.0
3,0.0,1.0,1.0,4.4,University District,Entire home/apt,standard,131.0
10,4.0,5.0,3.5,4.96,Fremont,Entire home/apt,standard,189.0
4,1.0,1.0,1.0,5.0,Phinney Ridge,Entire home/apt,standard,177.0
3,1.0,1.0,1.0,4.97,East Queen Anne,Entire home/apt,standard,92.0
3,1.0,1.0,1.0,4.99,East Queen Anne,Entire home/apt,standard,125.0
2,0.0,1.0,1.0,4.19,University District,Entire home/apt,standard,109.0
4,1.0,2.0,1.0,4.8,Lawton Park,Entire home/apt,standard,129.0
2,1.0,1.0,1.0,4.59,Columbia City,Entire home/apt,standard,110.0
10,4.0,5.0,2.0,4.78,Minor,Entire home/apt,standard,293.0
2,2.0,4.0,1.0,4.48,Greenwood,Entire home/apt,standard,175.0
2,1.0,1.0,1.0,4.95,North Beacon Hill,Entire home/apt,standard,97.0
4,1.0,3.0,1.0,4.95,Maple Leaf,Entire home/apt,standard,93.0
10,5.0,5.0,3.5,4.96,Lawton Park,Entire home/apt,standard,856.0
2,0.0,2.0,1.0,4.87,East Queen Anne,Entire home/apt,standard,99.0
4,0.0,2.0,1.0,4.88,Pioneer Square,Entire home/apt,standard,130.0
5,2.0,2.0,1.0,4.79,Minor,Entire home/apt,standard,159.0
1,1.0,1.0,1.5,4.68,University District,Private room,shared,78.0
4,2.0,2.0,1.0,4.77,Green Lake,Entire home/apt,standard,108.0
2,0.0,2.0,1.0,4.76,Green Lake,Entire home/apt,standard,85.0
4,1.0,2.0,1.5,4.7,North Admiral,Entire home/apt,standard,139.0
2,1.0,1.0,1.0,3.83,Alki,Private room,standard,249.0
14,6.0,8.0,4.0,4.84,Green Lake,Entire home/apt,standard,573.0
2,0.0,2.0,1.0,4.89,Belltown,Entire home/apt,standard,90.0
2,1.0,1.0,1.0,4.97,Minor,Private room,shared,45.0
2,1.0,1.0,1.0,4.96,Montlake,Entire home/apt,standard,115.0
4,1.0,2.0,1.0,4.62,Fremont,Entire home/apt,standard,137.0
1,1.0,1.0,1.0,4.94,North College Park,Private room,shared,163.0
3,1.0,2.0,1.0,4.87,North Beach/Blue Ridge,Entire home/apt,standard,115.0
4,2.0,3.0,1.5,4.82,Sunset Hill,Entire home/apt,standard,130.0
3,1.0,1.0,1.0,4.96,Central Business District,Entire home/apt,standard,189.0
8,3.0,3.0,2.0,4.94,Minor,Entire home/apt,standard,188.0
5,2.0,3.0,1.0,4.85,Lawton Park,Entire home/apt,standard,191.0
3,1.0,3.0,1.0,4.82,North Beach/Blue Ridge,Entire home/apt,standard,75.0
4,2.0,4.0,1.0,5.0,Wallingford,Entire home/apt,standard,119.0
2,1.0,1.0,1.0,4.92,Rainier Beach,Entire home/apt,standard,102.0
6,3.0,3.0,1.0,4.88,View Ridge,Entire home/apt,standard,151.0
3,1.0,1.0,1.0,4.94,Atlantic,Entire home/apt,standard,87.0
7,2.0,2.0,2.0,4.17,University District,Entire home/apt,standard,168.0
4,1.0,2.0,1.5,4.88,Matthews Beach,Entire home/apt,standard,150.0
9,3.0,6.0,1.5,4.84,Riverview,Entire home/apt,standard,164.0
1,1.0,1.0,1.0,4.64,Bryant,Private room,private,60.0
2,0.0,1.0,1.0,4.81,Fremont,Entire home/apt,standard,129.0
2,1.0,2.0,1.0,4.91,Gatewood,Entire home/apt,standard,120.0
6,5.0,3.0,3.0,4.88,Green Lake,Entire home/apt,standard,525.0
5,2.0,3.0,2.0,4.91,Whittier Heights,Entire home/apt,standard,125.0
3,1.0,1.0,1.0,4.91,Loyal Heights,Entire home/apt,standard,95.0
3,1.0,2.0,1.0,4.1,University District,Entire home/apt,standard,125.0
2,1.0,2.0,1.0,4.38,University District,Entire home/apt,standard,109.0
3,1.0,2.0,1.0,4.89,North Beacon Hill,Entire home/apt,standard,110.0
2,0.0,1.0,1.0,4.94,Columbia City,Entire home/apt,standard,100.0
4,1.0,3.0,1.0,4.85,Green Lake,Entire home/apt,standard,160.0
2,2.0,1.0,2.0,4.83,Fremont,Private room,standard,45.0
1,1.0,1.0,1.5,4.8,Fremont,Shared room,shared,56.0
2,1.0,1.0,2.0,4.61,Fremont,Private room,shared,56.0
3,3.0,3.0,2.0,4.76,Columbia City,Entire home/apt,standard,149.0
2,2.0,2.0,1.0,4.94,Stevens,Entire home/apt,standard,234.0
2,1.0,1.0,1.0,4.62,Roosevelt,Entire home/apt,standard,69.0
4,1.0,1.0,1.0,4.89,North Queen Anne,Entire home/apt,standard,155.0
5,2.0,2.0,2.0,4.79,Lower Queen Anne,Entire home/apt,standard,137.0
2,1.0,1.0,1.5,4.88,Fremont,Private room,standard,48.0
2,1.0,2.0,2.0,4.14,Fremont,Shared room,shared,47.0
2,1.0,1.0,1.0,4.94,Atlantic,Private room,private,89.0
2,0.0,1.0,1.0,4.94,Wallingford,Entire home/apt,standard,113.0
3,1.0,2.0,1.0,4.94,Matthews Beach,Entire home/apt,standard,85.0
2,1.0,1.0,1.0,4.83,Sunset Hill,Private room,private,80.0
2,1.0,1.0,1.0,4.9,Leschi,Entire home/apt,standard,235.0
2,1.0,1.0,1.0,4.86,North Beacon Hill,Private room,private,82.0
2,1.0,1.0,1.0,4.73,Greenwood,Entire home/apt,standard,99.0
10,3.0,5.0,3.0,4.84,North Beacon Hill,Entire home/apt,standard,175.0
6,3.0,3.0,1.5,4.98,Lower Queen Anne,Entire home/apt,standard,208.0
2,1.0,1.0,1.0,4.85,Minor,Private room,private,67.0
4,2.0,2.0,2.0,4.98,Dunlap,Entire home/apt,standard,245.0
4,2.0,2.0,1.0,4.95,Montlake,Entire home/apt,standard,84.0
1,1.0,1.0,2.0,4.55,Dunlap,Private room,shared,35.0
5,3.0,3.0,1.0,4.98,West Queen Anne,Entire home/apt,standard,250.0
1,1.0,1.0,3.0,4.29,North College Park,Private room,shared,28.0
6,3.0,3.0,3.5,5.0,Stevens,Entire home/apt,standard,236.0
2,1.0,1.0,1.0,4.97,Greenwood,Entire home/apt,standard,102.0
8,3.0,4.0,3.5,4.63,North Queen Anne,Entire home/apt,standard,500.0
3,1.0,1.0,1.0,4.97,North Admiral,Entire home/apt,standard,110.0
4,2.0,2.0,1.5,4.65,Fremont,Entire home/apt,standard,98.0
4,2.0,3.0,1.0,4.0,Central Business District,Entire home/apt,standard,189.0
2,1.0,2.0,1.0,4.9,Highland Park,Private room,private,45.0
1,1.0,1.0,1.0,5.0,Cedar Park,Private room,shared,51.0
4,1.0,3.0,1.0,4.98,Phinney Ridge,Entire home/apt,standard,185.0
9,3.0,3.0,2.5,5.0,Loyal Heights,Entire home/apt,standard,299.0
4,2.0,2.0,2.0,4.98,North Queen Anne,Entire home/apt,standard,155.0
2,1.0,1.0,1.0,5.0,Adams,Private room,private,100.0
2,1.0,2.0,2.0,4.95,Leschi,Entire home/apt,standard,95.0
2,1.0,1.0,1.0,4.47,West Queen Anne,Entire home/apt,standard,68.0
3,0.0,2.0,1.0,4.99,Wallingford,Entire home/apt,standard,93.0
4,1.0,2.0,1.0,4.95,Roosevelt,Entire home/apt,standard,119.0
10,5.0,6.0,2.0,4.87,Adams,Entire home/apt,standard,95.0
2,1.0,3.0,1.0,4.95,Lower Queen Anne,Entire home/apt,standard,108.0
2,0.0,1.0,1.0,5.0,University District,Entire home/apt,standard,131.0
4,1.0,1.0,1.0,4.99,Mount Baker,Entire home/apt,standard,130.0
4,1.0,1.0,1.0,5.0,Wallingford,Entire home/apt,standard,188.0
4,2.0,1.0,1.0,4.91,Fremont,Entire home/apt,standard,76.0
2,2.0,2.0,2.0,4.65,West Woodland,Private room,shared,50.0
2,0.0,1.0,1.0,4.9,Dunlap,Entire home/apt,standard,85.0
2,1.0,1.0,1.5,4.81,Highland Park,Private room,shared,39.0
2,1.0,1.0,1.0,4.41,Wallingford,Entire home/apt,standard,84.0
5,2.0,2.0,1.0,4.82,Fremont,Entire home/apt,standard,148.0
2,1.0,1.0,1.5,4.83,Highland Park,Private room,shared,39.0
2,1.0,1.0,1.0,5.0,East Queen Anne,Entire home/apt,standard,89.0
2,1.0,1.0,1.5,4.6,Seward Park,Private room,shared,28.0
4,0.0,2.0,1.0,4.85,Fremont,Entire home/apt,standard,103.0
6,2.0,3.0,1.0,4.67,First Hill,Entire home/apt,standard,202.0
4,1.0,2.0,1.0,4.93,North Admiral,Entire home/apt,standard,132.0
2,1.0,1.0,1.0,4.91,Alki,Entire home/apt,standard,102.0
8,3.0,5.0,2.5,4.91,Broadway,Entire home/apt,standard,220.0
2,1.0,1.0,1.0,4.98,Wallingford,Entire home/apt,standard,100.0
4,1.0,3.0,1.0,4.51,First Hill,Entire home/apt,standard,110.0
2,1.0,1.0,1.0,4.94,Lawton Park,Private room,private,78.0
2,1.0,1.0,1.0,4.82,Phinney Ridge,Entire home/apt,standard,68.0
1,1.0,1.0,1.0,4.98,Gatewood,Entire home/apt,standard,58.0
3,1.0,2.0,1.0,4.99,North Queen Anne,Entire home/apt,standard,133.0
5,2.0,3.0,1.0,4.67,University District,Entire home/apt,standard,145.0
5,1.0,3.0,1.0,4.26,Seward Park,Entire home/apt,standard,135.0
2,1.0,1.0,1.0,4.89,Brighton,Private room,shared,76.0
2,1.0,1.0,1.0,4.9,Brighton,Private room,shared,79.0
2,1.0,1.0,1.0,4.82,Mount Baker,Private room,shared,47.0
5,2.0,3.0,1.0,4.67,Brighton,Entire home/apt,standard,115.0
6,1.0,3.0,1.0,4.98,Green Lake,Entire home/apt,standard,224.0
2,1.0,1.0,1.0,4.77,Mount Baker,Private room,shared,53.0
4,2.0,2.0,1.0,4.93,Central Business District,Entire home/apt,standard,125.0
2,1.0,2.0,1.5,5.0,West Woodland,Private room,shared,75.0
4,2.0,2.0,1.0,4.98,Wallingford,Entire home/apt,standard,135.0
2,1.0,1.0,1.0,4.67,North Beach/Blue Ridge,Entire home/apt,standard,130.0
2,1.0,1.0,1.0,4.88,Fauntleroy,Entire home/apt,standard,99.0
4,1.0,2.0,1.0,4.94,North Admiral,Entire home/apt,standard,90.0
3,2.0,2.0,1.0,4.71,Stevens,Entire home/apt,standard,145.0
3,1.0,1.0,1.0,4.92,Fauntleroy,Entire home/apt,standard,98.0
5,3.0,3.0,3.0,4.93,University District,Entire home/apt,standard,245.0
4,2.0,2.0,1.0,3.86,University District,Entire home/apt,standard,125.0
6,3.0,3.0,2.0,5.0,Fremont,Entire home/apt,standard,505.0
2,1.0,1.0,1.0,4.9,Adams,Entire home/apt,standard,110.0
4,0.0,2.0,1.0,4.84,Southeast Magnolia,Private room,private,85.0
2,1.0,1.0,1.0,4.94,Matthews Beach,Entire home/apt,standard,145.0
4,1.0,2.0,1.5,4.97,South Lake Union,Entire home/apt,standard,153.0
4,1.0,2.0,1.0,4.85,Greenwood,Entire home/apt,standard,101.0
16,3.0,8.0,2.5,4.81,West Queen Anne,Entire home/apt,standard,441.0
2,1.0,1.0,1.0,4.8,Wallingford,Private room,private,105.0
2,1.0,1.0,1.5,4.93,Fremont,Private room,standard,75.0
3,1.0,1.0,1.0,4.97,Seaview,Entire home/apt,standard,85.0
2,0.0,1.0,1.0,4.95,Broadway,Entire home/apt,standard,70.0
4,2.0,3.0,1.0,4.73,Alki,Entire home/apt,standard,151.0
4,1.0,2.0,1.0,4.91,Greenwood,Entire home/apt,standard,129.0
8,3.0,4.0,3.5,4.93,High Point,Entire home/apt,standard,364.0
8,3.0,3.0,2.0,4.97,Columbia City,Entire home/apt,standard,269.0
2,2.0,1.0,1.0,4.94,North Admiral,Entire home/apt,standard,68.0
4,2.0,2.0,1.0,4.65,Gatewood,Entire home/apt,standard,197.0
2,0.0,2.0,1.0,5.0,Mount Baker,Entire home/apt,standard,107.0
2,1.0,1.0,1.0,4.98,Georgetown,Entire home/apt,standard,85.0
1,0.0,1.0,1.0,4.97,University District,Entire home/apt,standard,98.0
4,2.0,2.0,1.0,4.88,Mid-Beacon Hill,Entire home/apt,standard,73.0
4,2.0,2.0,1.0,4.91,Riverview,Entire home/apt,standard,105.0
4,0.0,2.0,1.0,4.96,Bryant,Entire home/apt,standard,107.0
2,0.0,2.0,1.0,4.93,Green Lake,Entire home/apt,standard,82.0
7,3.0,4.0,2.0,4.85,West Queen Anne,Entire home/apt,standard,450.0
2,1.0,1.0,1.0,4.92,Seaview,Entire home/apt,standard,155.0
2,2.0,1.0,1.5,4.25,Westlake,Entire home/apt,standard,95.0
2,0.0,1.0,1.0,4.96,Southeast Magnolia,Entire home/apt,standard,61.0
5,3.0,2.0,1.0,4.79,Lawton Park,Private room,private,191.0
4,1.0,1.0,1.0,4.91,Pike-Market,Entire home/apt,standard,186.0
6,3.0,4.0,3.0,4.97,Cedar Park,Entire home/apt,standard,786.0
3,6.0,2.0,1.0,4.97,Green Lake,Entire home/apt,standard,99.0
2,1.0,1.0,1.0,4.78,Columbia City,Entire home/apt,standard,100.0
2,1.0,1.0,1.0,4.79,Alki,Entire home/apt,standard,65.0
10,5.0,6.0,3.0,5.0,East Queen Anne,Entire home/apt,standard,590.0
8,2.0,2.0,2.0,4.94,South Lake Union,Entire home/apt,standard,319.0
4,2.0,2.0,1.0,4.92,Columbia City,Entire home/apt,standard,131.0
1,1.0,1.0,1.0,5.0,West Queen Anne,Private room,private,55.0
2,0.0,1.0,1.0,4.98,Pinehurst,Entire home/apt,standard,103.0
6,2.0,4.0,1.0,4.89,Phinney Ridge,Entire home/apt,standard,171.0
2,1.0,1.0,1.0,5.0,Fremont,Entire home/apt,standard,111.0
4,2.0,2.0,1.0,4.76,North Beacon Hill,Entire home/apt,standard,145.0
3,1.0,1.0,1.0,4.74,Green Lake,Entire home/apt,standard,80.0
4,2.0,2.0,1.0,4.69,Phinney Ridge,Entire home/apt,standard,199.0
4,1.0,2.0,1.0,4.87,Greenwood,Entire home/apt,standard,126.0
6,2.0,4.0,1.5,4.88,Rainier Beach,Entire home/apt,standard,200.0
8,4.0,6.0,3.0,5.0,Mount Baker,Entire home/apt,standard,1992.0
3,1.0,1.0,1.0,4.92,Broadway,Entire home/apt,standard,139.0
2,1.0,1.0,1.0,4.55,Sunset Hill,Entire home/apt,standard,100.0
4,2.0,3.0,1.0,4.87,Montlake,Entire home/apt,standard,145.0
3,0.0,2.0,1.0,4.8,Belltown,Entire home/apt,standard,110.0
6,2.0,2.0,1.0,4.65,Riverview,Entire home/apt,standard,121.0
3,0.0,2.0,1.0,4.95,University District,Entire home/apt,standard,114.0
4,1.0,2.0,2.0,4.76,Seward Park,Entire home/apt,standard,202.0
3,2.0,2.0,1.0,4.88,Lower Queen Anne,Entire home/apt,standard,185.0
8,2.0,5.0,2.0,4.95,Central Business District,Entire home/apt,standard,346.0
2,0.0,1.0,1.0,4.96,Ravenna,Entire home/apt,standard,85.0
8,2.0,3.0,2.0,4.91,Central Business District,Entire home/apt,standard,311.0
6,3.0,3.0,2.5,4.96,Minor,Entire home/apt,standard,235.0
5,1.0,2.0,1.0,4.86,Broadway,Entire home/apt,standard,164.0
6,2.0,2.0,2.0,4.89,Central Business District,Entire home/apt,standard,347.0
1,1.0,1.0,1.0,4.94,North Delridge,Private room,private,73.0
3,0.0,1.0,1.0,4.89,Pioneer Square,Entire home/apt,standard,130.0
2,0.0,1.0,1.0,4.44,Broadway,Entire home/apt,standard,79.0
2,1.0,1.0,1.0,4.94,Loyal Heights,Private room,shared,100.0
2,1.0,1.0,1.0,4.75,North Delridge,Private room,shared,29.0
2,1.0,1.0,1.0,4.91,Riverview,Private room,shared,35.0
4,2.0,2.0,1.0,4.93,Bitter Lake,Entire home/apt,standard,125.0
3,1.0,2.0,1.0,4.83,Victory Heights,Entire home/apt,standard,59.0
3,1.0,2.0,1.0,4.64,Riverview,Private room,shared,39.0
6,1.0,3.0,1.0,4.93,Central Business District,Entire home/apt,standard,137.0
4,2.0,2.0,1.0,4.87,Lower Queen Anne,Entire home/apt,standard,206.0
3,2.0,2.0,2.0,4.65,Fremont,Entire home/apt,standard,144.0
10,5.0,7.0,3.5,4.91,Broadway,Entire home/apt,standard,413.0
2,1.0,1.0,1.0,4.7,Riverview,Entire home/apt,standard,50.0
14,4.0,4.0,4.0,4.33,Brighton,Private room,standard,600.0
4,1.0,1.0,1.0,4.36,Brighton,Private room,private,59.0
2,1.0,1.0,1.0,4.53,Brighton,Private room,private,58.0
3,1.0,1.0,1.0,4.39,Brighton,Private room,private,59.0
3,1.0,1.0,1.0,4.12,Brighton,Private room,private,59.0
6,2.0,2.0,1.0,4.84,North Delridge,Entire home/apt,standard,106.0
2,1.0,1.0,1.0,4.88,Highland Park,Entire home/apt,standard,75.0
4,1.0,2.0,1.0,4.77,North Admiral,Entire home/apt,standard,120.0
2,1.0,1.0,1.0,4.74,Columbia City,Private room,private,59.0
7,3.0,3.0,2.5,4.93,Ravenna,Entire home/apt,standard,301.0
9,4.0,5.0,3.5,4.86,Fremont,Entire home/apt,standard,425.0
3,1.0,2.0,1.0,4.9,Belltown,Entire home/apt,standard,76.0
6,3.0,3.0,2.5,4.88,Mid-Beacon Hill,Entire home/apt,standard,235.0
1,1.0,1.0,1.0,4.64,Greenwood,Private room,shared,35.0
8,4.0,4.0,2.0,4.97,Roxhill,Entire home/apt,standard,180.0
6,3.0,4.0,3.5,4.67,Leschi,Entire home/apt,standard,180.0
4,0.0,2.0,1.0,4.96,Arbor Heights,Entire home/apt,standard,100.0
6,3.0,4.0,3.0,4.83,North Beach/Blue Ridge,Entire home/apt,standard,144.0
4,2.0,2.0,2.0,4.81,Belltown,Entire home/apt,standard,121.0
2,1.0,1.0,1.0,4.89,Ravenna,Entire home/apt,standard,60.0
2,1.0,1.0,1.0,4.96,Broadway,Private room,private,85.0
6,4.0,4.0,2.0,4.86,Seward Park,Entire home/apt,standard,172.0
4,2.0,2.0,1.5,4.97,Adams,Entire home/apt,standard,212.0
2,1.0,1.0,1.0,4.8,Atlantic,Entire home/apt,standard,75.0
6,3.0,5.0,2.0,4.74,Georgetown,Entire home/apt,standard,120.0
4,2.0,2.0,1.0,4.99,Genesee,Entire home/apt,standard,190.0
4,1.0,1.0,1.0,4.97,Pike-Market,Entire home/apt,standard,199.0
3,1.0,1.0,1.0,4.85,North College Park,Entire home/apt,standard,84.0
3,1.0,2.0,1.0,4.96,Greenwood,Entire home/apt,standard,110.0
2,0.0,1.0,1.0,4.95,Green Lake,Entire home/apt,standard,95.0
2,1.0,1.0,1.0,4.95,Columbia City,Private room,shared,76.0
3,1.0,1.0,1.0,4.94,North Admiral,Entire home/apt,standard,125.0
2,1.0,1.0,1.0,4.87,North College Park,Entire home/apt,standard,71.0
4,0.0,1.0,1.0,4.56,Crown Hill,Entire home/apt,standard,80.0
3,1.0,1.0,1.0,4.95,Wallingford,Entire home/apt,standard,175.0
4,2.0,2.0,1.0,4.85,Stevens,Entire home/apt,standard,116.0
2,2.0,2.0,1.0,5.0,Montlake,Entire home/apt,standard,217.0
4,1.0,2.0,1.0,4.83,North Beacon Hill,Entire home/apt,standard,66.0
2,1.0,1.0,1.0,4.95,Fremont,Entire home/apt,standard,83.0
5,2.0,3.0,2.0,5.0,North Beacon Hill,Entire home/apt,standard,122.0
6,2.0,5.0,2.5,4.96,Wallingford,Entire home/apt,standard,211.0
4,1.0,2.0,1.0,4.84,Sunset Hill,Entire home/apt,standard,96.0
8,4.0,5.0,2.0,4.87,Fremont,Entire home/apt,standard,301.0
2,0.0,1.0,1.0,4.83,Wallingford,Private room,shared,623.0
2,1.0,2.0,1.0,4.99,Belltown,Entire home/apt,standard,180.0
2,1.0,1.0,1.0,4.91,Matthews Beach,Entire home/apt,standard,130.0
2,1.0,1.0,1.0,4.78,Fremont,Entire home/apt,standard,129.0
4,2.0,2.0,1.0,4.82,Fremont,Entire home/apt,standard,150.0
8,3.0,3.0,2.0,4.94,Atlantic,Entire home/apt,standard,446.0
5,1.0,2.0,1.0,4.46,Brighton,Private room,shared,55.0
3,1.0,1.0,1.0,4.32,Brighton,Private room,shared,55.0
8,2.0,3.0,1.0,2.6,Brighton,Private room,private,300.0
2,1.0,1.0,1.0,4.87,Atlantic,Entire home/apt,standard,58.0
4,1.0,3.0,1.0,4.85,Minor,Entire home/apt,standard,99.0
4,1.0,2.0,1.0,4.88,Wedgwood,Entire home/apt,standard,85.0
2,0.0,1.0,1.0,5.0,Belltown,Entire home/apt,standard,85.0
6,2.0,2.0,2.0,4.7,Minor,Entire home/apt,standard,214.0
2,1.0,1.0,1.0,4.74,North Beacon Hill,Private room,shared,58.0
1,1.0,1.0,1.0,4.08,Crown Hill,Private room,private,81.0
2,1.0,1.0,1.0,4.99,Brighton,Private room,shared,76.0
2,1.0,1.0,1.0,4.94,Madrona,Private room,shared,45.0
4,1.0,1.0,1.5,4.91,Brighton,Entire home/apt,standard,89.0
5,1.0,1.0,1.0,4.82,Pike-Market,Entire home/apt,standard,150.0
3,0.0,2.0,1.0,4.89,Belltown,Entire home/apt,standard,153.0
6,2.0,3.0,2.5,4.91,Wallingford,Entire home/apt,standard,172.0
4,1.0,1.0,1.0,4.95,East Queen Anne,Entire home/apt,standard,106.0
2,1.0,1.0,1.0,4.79,Stevens,Entire home/apt,standard,85.0
4,2.0,2.0,2.0,5.0,Stevens,Entire home/apt,standard,149.0
4,1.0,1.0,1.0,4.89,North Queen Anne,Entire home/apt,standard,77.0
4,1.0,2.0,1.0,4.71,Mann,Entire home/apt,standard,85.0
2,1.0,1.0,1.0,4.84,Madrona,Entire home/apt,standard,111.0
4,2.0,3.0,1.0,4.83,Seaview,Entire home/apt,standard,224.0
2,1.0,1.0,1.0,4.86,Fairmount Park,Private room,private,80.0
4,1.0,1.0,1.0,4.97,Loyal Heights,Entire home/apt,standard,165.0
5,2.0,3.0,1.0,4.6,Fremont,Entire home/apt,standard,181.0
2,1.0,2.0,1.0,4.94,West Woodland,Entire home/apt,standard,185.0
1,1.0,1.0,1.0,4.92,Mann,Private room,shared,89.0
4,3.0,3.0,2.5,4.68,Georgetown,Entire home/apt,standard,125.0
4,1.0,2.0,1.0,4.88,Mount Baker,Entire home/apt,standard,67.0
4,2.0,2.0,1.0,5.0,Loyal Heights,Entire home/apt,standard,150.0
3,0.0,1.0,1.0,4.94,East Queen Anne,Entire home/apt,standard,102.0
4,0.0,4.0,1.0,4.0,University District,Entire home/apt,standard,108.0
4,1.0,2.0,1.0,4.98,North Beach/Blue Ridge,Entire home/apt,standard,131.0
16,6.0,8.0,4.0,4.86,North Beacon Hill,Entire home/apt,standard,411.0
8,3.0,4.0,2.5,4.81,Haller Lake,Entire home/apt,standard,143.0
7,3.0,5.0,1.5,4.82,Wallingford,Entire home/apt,standard,131.0
3,2.0,2.0,1.5,5.0,Greenwood,Entire home/apt,standard,165.0
8,2.0,5.0,1.5,4.92,Wedgwood,Entire home/apt,standard,307.0
16,8.0,14.0,3.0,4.6,Madrona,Entire home/apt,standard,363.0
16,7.0,15.0,3.0,4.76,Montlake,Entire home/apt,standard,571.0
4,1.0,2.0,1.0,4.94,Mann,Entire home/apt,standard,72.0
16,5.0,7.0,3.5,4.7,Mann,Entire home/apt,standard,317.0
16,5.0,10.0,3.0,4.75,Mann,Entire home/apt,standard,309.0
