accommodates,bedrooms,beds,bathrooms,rating,neighbourhood,room_type,bath_type,price
6,3.0,3.0,2.0,4.85,Stevens,Entire home/apt,standard,206.0
4,2.0,3.0,1.0,4.83,Seward Park,Entire home/apt,standard,289.0
4,1.0,2.0,1.0,4.98,Whittier Heights,Entire home/apt,standard,119.0
2,1.0,1.0,1.0,4.89,Green Lake,Private room,private,89.0
4,2.0,2.0,1.0,4.9,Mid-Beacon Hill,Private room,private,135.0
2,1.0,1.0,1.0,4.75,Fauntleroy,Entire home/apt,standard,200.0
2,1.0,1.0,1.0,5.0,Columbia City,Entire home/apt,standard,100.0
2,1.0,1.0,1.0,5.0,Fremont,Entire home/apt,standard,175.0
2,1.0,1.0,1.0,5.0,North College Park,Private room,shared,67.0
2,1.0,1.0,1.0,5.0,North College Park,Private room,shared,67.0
2,0.0,1.0,1.0,4.56,Central Business District,Entire home/apt,standard,85.0
5,2.0,3.0,2.0,4.99,Green Lake,Entire home/apt,standard,229.0
4,1.0,2.0,1.0,4.79,Montlake,Private room,private,76.0
5,2.0,2.0,1.0,4.88,Belltown,Entire home/apt,standard,128.0
2,1.0,1.0,1.0,4.8,Broadway,Private room,private,74.0
2,1.0,1.0,1.0,4.89,Broadway,Private room,private,74.0
5,2.0,2.0,1.0,4.66,South Delridge,Entire home/apt,standard,100.0
6,2.0,2.0,1.0,4.96,North Beach/Blue Ridge,Entire home/apt,standard,147.0
2,0.0,1.0,1.0,4.0,South Lake Union,Entire home/apt,standard,115.0
5,2.0,3.0,1.0,4.93,North Queen Anne,Entire home/apt,standard,158.0
2,1.0,1.0,1.0,4.89,North Admiral,Entire home/apt,standard,130.0
3,1.0,1.0,1.0,4.57,University District,Entire home/apt,standard,126.0
3,1.0,2.0,1.0,5.0,Sunset Hill,Entire home/apt,standard,175.0
4,1.0,2.0,1.0,4.98,Westlake,Entire home/apt,standard,105.0
4,1.0,2.0,1.0,4.8,Fremont,Entire home/apt,standard,90.0
2,0.0,1.0,1.0,4.83,Ravenna,Entire home/apt,standard,79.0
3,1.0,1.0,1.0,4.9,Westlake,Entire home/apt,standard,120.0
4,0.0,1.0,1.0,4.75,North Beacon Hill,Entire home/apt,standard,86.0
3,1.0,1.0,1.0,4.9,Riverview,Entire home/apt,standard,186.0
1,1.0,1.0,1.0,4.8,Green Lake,Entire home/apt,standard,133.0
8,4.0,5.0,2.5,5.0,Whittier Heights,Entire home/apt,standard,234.0
4,1.0,1.0,1.0,4.57,North Beacon Hill,Entire home/apt,standard,92.0
4,1.0,2.0,1.0,5.0,North Beacon Hill,Entire home/apt,standard,89.0
4,1.0,1.0,1.0,4.88,North Beacon Hill,Entire home/apt,standard,97.0
5,2.0,3.0,1.0,4.89,West Woodland,Entire home/apt,standard,119.0
9,3.0,4.0,3.0,4.85,Georgetown,Entire home/apt,standard,188.0
8,3.0,4.0,2.0,4.92,Victory Heights,Entire home/apt,standard,275.0
4,1.0,3.0,1.0,4.89,East Queen Anne,Entire home/apt,standard,115.0
2,1.0,1.0,1.0,4.86,Central Business District,Entire home/apt,standard,136.0
2,1.0,1.0,1.0,4.95,North Beacon Hill,Entire home/apt,standard,130.0
2,1.0,2.0,1.0,4.98,Brighton,Private room,private,65.0
13,5.0,7.0,2.0,4.46,Wedgwood,Entire home/apt,standard,188.0
4,2.0,2.0,1.0,4.87,Gatewood,Entire home/apt,standard,150.0
4,2.0,3.0,1.0,4.77,North Admiral,Entire home/apt,standard,176.0
2,1.0,1.0,1.0,4.85,Fairmount Park,Entire home/apt,standard,82.0
2,1.0,1.0,1.0,4.63,Seaview,Entire home/apt,standard,142.0
4,2.0,2.0,2.0,4.84,Adams,Entire home/apt,standard,194.0
4,1.0,2.0,1.0,4.88,North Queen Anne,Entire home/apt,standard,105.0
3,1.0,2.0,1.0,4.93,Arbor Heights,Entire home/apt,standard,127.0
8,4.0,4.0,2.0,4.96,Seward Park,Entire home/apt,standard,495.0
2,0.0,1.0,1.0,4.46,Atlantic,Entire home/apt,standard,59.0
2,0.0,1.0,1.0,4.62,First Hill,Entire home/apt,standard,87.0
6,2.0,3.0,2.0,4.79,East Queen Anne,Entire home/apt,standard,171.0
2,1.0,1.0,1.0,4.25,Atlantic,Entire home/apt,standard,52.0
2,0.0,1.0,1.0,4.27,Atlantic,Entire home/apt,standard,58.0
2,1.0,1.0,1.0,5.0,Fremont,Entire home/apt,standard,141.0
8,6.0,6.0,2.0,4.95,North Beach/Blue Ridge,Entire home/apt,standard,459.0
10,4.0,4.0,3.0,5.0,East Queen Anne,Entire home/apt,standard,505.0
8,4.0,5.0,3.5,5.0,West Queen Anne,Entire home/apt,standard,1299.0
3,1.0,2.0,1.0,4.69,Phinney Ridge,Entire home/apt,standard,126.0
2,1.0,1.0,1.0,5.0,Fairmount Park,Entire home/apt,standard,105.0
3,1.0,1.0,1.0,4.68,Broadway,Entire home/apt,standard,83.0
6,2.0,3.0,3.5,4.48,Fremont,Entire home/apt,standard,152.0
2,0.0,1.0,1.0,5.0,Minor,Entire home/apt,standard,141.0
2,1.0,1.0,1.0,4.97,Fremont,Private room,private,69.0
2,1.0,1.0,1.0,4.5,Minor,Entire home/apt,standard,157.0
9,4.0,5.0,4.5,4.67,Leschi,Entire home/apt,standard,600.0
4,2.0,2.0,1.0,5.0,Roosevelt,Entire home/apt,standard,124.0
6,3.0,3.0,3.0,4.93,Victory Heights,Entire home/apt,standard,245.0
6,2.0,2.0,2.5,5.0,Alki,Entire home/apt,standard,200.0
10,5.0,5.0,2.0,5.0,West Woodland,Entire home/apt,standard,267.0
2,1.0,1.0,1.0,4.65,Broadway,Entire home/apt,standard,65.0
4,2.0,2.0,2.0,4.88,Broadway,Entire home/apt,standard,257.0
4,0.0,1.0,1.0,5.0,West Queen Anne,Entire home/apt,standard,52.0
2,1.0,1.0,1.5,4.86,Sunset Hill,Entire home/apt,standard,180.0
2,1.0,1.0,1.0,5.0,University District,Entire home/apt,standard,65.0
6,2.0,2.0,1.0,5.0,Leschi,Entire home/apt,standard,281.0
10,3.0,4.0,3.5,4.86,Broadway,Entire home/apt,standard,192.0
4,2.0,3.0,2.0,4.93,Brighton,Entire home/apt,standard,90.0
2,1.0,1.0,1.0,4.94,Montlake,Private room,private,139.0
5,2.0,3.0,2.5,4.78,Georgetown,Entire home/apt,standard,219.0
4,1.0,2.0,1.0,4.99,Riverview,Entire home/apt,standard,95.0
2,1.0,1.0,1.0,5.0,Minor,Entire home/apt,standard,91.0
4,1.0,3.0,1.0,4.93,Southeast Magnolia,Entire home/apt,standard,158.0
4,1.0,2.0,1.0,4.88,Belltown,Entire home/apt,standard,102.0
4,1.0,2.0,1.0,4.98,Gatewood,Entire home/apt,standard,135.0
6,2.0,4.0,1.0,4.74,Lower Queen Anne,Entire home/apt,standard,307.0
2,1.0,1.0,1.0,4.95,Broadway,Entire home/apt,standard,102.0
2,1.0,1.0,1.0,4.8,Wallingford,Private room,shared,50.0
4,1.0,2.0,1.0,4.92,Belltown,Entire home/apt,standard,113.0
4,2.0,2.0,1.0,4.89,West Woodland,Entire home/apt,standard,169.0
4,2.0,3.0,2.0,4.85,Phinney Ridge,Entire home/apt,standard,257.0
2,1.0,1.0,1.0,4.8,Belltown,Entire home/apt,standard,94.0
3,1.0,2.0,1.0,4.3,Fremont,Entire home/apt,standard,280.0
4,2.0,2.0,1.5,4.99,Mid-Beacon Hill,Entire home/apt,standard,103.0
2,1.0,1.0,1.0,4.83,Harrison/Denny-Blaine,Entire home/apt,standard,134.0
8,4.0,4.0,3.5,5.0,Madrona,Entire home/apt,standard,725.0
2,0.0,1.0,1.0,4.96,North Beacon Hill,Entire home/apt,standard,58.0
1,1.0,1.0,1.0,5.0,Phinney Ridge,Private room,shared,44.0
4,2.0,2.0,2.0,4.86,North Delridge,Entire home/apt,standard,104.0
2,1.0,1.0,1.0,4.83,Broadway,Entire home/apt,standard,119.0
2,1.0,1.0,1.0,5.0,Broadway,Entire home/apt,standard,90.0
4,2.0,2.0,2.0,5.0,West Queen Anne,Entire home/apt,standard,535.0
5,2.0,3.0,1.0,4.88,Wallingford,Entire home/apt,standard,300.0
8,4.0,4.0,3.0,4.5,Broadview,Entire home/apt,standard,186.0
2,1.0,1.0,1.0,4.83,Broadway,Entire home/apt,standard,85.0
2,1.0,1.0,1.0,4.0,Broadway,Entire home/apt,standard,80.0
8,3.0,3.0,2.5,4.93,Montlake,Entire home/apt,standard,200.0
4,2.0,2.0,1.0,4.78,Ravenna,Entire home/apt,standard,127.0
1,1.0,1.0,1.0,5.0,Broadway,Private room,private,80.0
6,3.0,3.0,2.0,4.73,North Beacon Hill,Entire home/apt,standard,129.0
2,1.0,1.0,1.0,4.66,North Queen Anne,Entire home/apt,standard,134.0
4,2.0,2.0,1.0,4.88,Wallingford,Entire home/apt,standard,107.0
2,1.0,1.0,1.0,4.6,Broadway,Entire home/apt,standard,127.0
4,2.0,2.0,2.0,4.92,Mount Baker,Entire home/apt,standard,152.0
8,4.0,4.0,2.0,4.98,Minor,Entire home/apt,standard,371.0
4,2.0,2.0,2.5,4.92,Brighton,Entire home/apt,standard,143.0
2,1.0,1.0,1.0,5.0,University District,Entire home/apt,standard,40.0
6,3.0,3.0,3.5,4.96,North Delridge,Entire home/apt,standard,143.0
10,5.0,5.0,2.5,4.91,Minor,Entire home/apt,standard,289.0
6,2.0,3.0,1.5,4.96,Bryant,Entire home/apt,standard,172.0
6,3.0,2.0,2.5,5.0,Fauntleroy,Entire home/apt,standard,292.0
6,3.0,4.0,2.5,4.88,Fairmount Park,Entire home/apt,standard,218.0
7,3.0,3.0,2.5,4.5,Fremont,Entire home/apt,standard,188.0
2,1.0,1.0,1.0,4.9,Lawton Park,Entire home/apt,standard,82.0
2,1.0,1.0,1.0,4.94,Bitter Lake,Entire home/apt,standard,90.0
9,5.0,5.0,2.0,3.83,University District,Entire home/apt,standard,198.0
4,1.0,2.0,1.0,4.86,Greenwood,Entire home/apt,standard,70.0
2,1.0,2.0,1.0,4.91,Atlantic,Entire home/apt,standard,103.0
2,1.0,1.0,1.0,5.0,North Beacon Hill,Entire home/apt,standard,180.0
4,2.0,2.0,1.0,4.94,Alki,Entire home/apt,standard,130.0
3,1.0,2.0,1.0,4.82,Gatewood,Entire home/apt,standard,101.0
6,3.0,3.0,1.0,4.65,Bitter Lake,Entire home/apt,standard,149.0
6,2.0,3.0,1.0,4.87,Haller Lake,Entire home/apt,standard,178.0
2,1.0,1.0,1.0,5.0,South Lake Union,Entire home/apt,standard,171.0
1,1.0,1.0,2.0,4.25,Green Lake,Private room,shared,30.0
2,1.0,1.0,1.0,2.0,South Lake Union,Entire home/apt,standard,90.0
2,1.0,1.0,1.0,4.0,South Lake Union,Entire home/apt,standard,112.0
4,1.0,3.0,1.0,4.95,Yesler Terrace,Entire home/apt,standard,85.0
8,3.0,6.0,2.0,5.0,Genesee,Entire home/apt,standard,325.0
6,3.0,3.0,2.0,4.74,Stevens,Entire home/apt,standard,350.0
2,0.0,1.0,1.0,4.88,Belltown,Entire home/apt,standard,103.0
12,6.0,6.0,2.5,5.0,North Delridge,Entire home/apt,standard,1000.0
5,2.0,3.0,1.0,4.64,First Hill,Entire home/apt,standard,161.0
1,1.0,1.0,2.0,3.67,Green Lake,Private room,shared,40.0
4,1.0,1.0,1.0,4.91,Belltown,Entire home/apt,standard,102.0
